,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,age_new,imt,player_positions_code,player_positions_category
0,158023,https://sofifa.com/player/158023/lionel-messi/220002,L. Messi,Lionel Andrés Messi Cuccittini,RW,93,93,78000000,320000.0,34,1987-06-24,170,72,73.0,Paris Saint-Germain,french ligue 1,1.0,39,24.91,1,several
1,158023,https://sofifa.com/player/158023/lionel-messi/220002,L. Messi,Lionel Andrés Messi Cuccittini,ST,93,93,78000000,320000.0,34,1987-06-24,170,72,73.0,Paris Saint-Germain,french ligue 1,1.0,39,24.91,1,several
2,158023,https://sofifa.com/player/158023/lionel-messi/220002,L. Messi,Lionel Andrés Messi Cuccittini,CF,93,93,78000000,320000.0,34,1987-06-24,170,72,73.0,Paris Saint-Germain,french ligue 1,1.0,39,24.91,1,several
3,188545,https://sofifa.com/player/188545/robert-lewandowski/220002,R. Lewandowski,Robert Lewandowski,ST,92,92,119500000,270000.0,32,1988-08-21,185,81,21.0,FC Bayern München,german 1. bundesliga,1.0,38,23.67,0,one
4,20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/220002,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,91,91,45000000,270000.0,36,1985-02-05,187,83,11.0,Manchester United,english premier league,1.0,41,23.74,1,several
5,20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/220002,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,LW,91,91,45000000,270000.0,36,1985-02-05,187,83,11.0,Manchester United,english premier league,1.0,41,23.74,1,several
6,190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/220002,Neymar Jr,Neymar da Silva Santos Júnior,LW,91,91,129000000,270000.0,29,1992-02-05,175,68,73.0,Paris Saint-Germain,french ligue 1,1.0,34,22.2,1,several
7,190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/220002,Neymar Jr,Neymar da Silva Santos Júnior,CAM,91,91,129000000,270000.0,29,1992-02-05,175,68,73.0,Paris Saint-Germain,french ligue 1,1.0,34,22.2,1,several
8,192985,https://sofifa.com/player/192985/kevin-de-bruyne/220002,K. De Bruyne,Kevin De Bruyne,CM,91,91,125500000,350000.0,30,1991-06-28,181,70,10.0,Manchester City,english premier league,1.0,35,21.37,1,several
9,192985,https://sofifa.com/player/192985/kevin-de-bruyne/220002,K. De Bruyne,Kevin De Bruyne,CAM,91,91,125500000,350000.0,30,1991-06-28,181,70,10.0,Manchester City,english premier league,1.0,35,21.37,1,several
